GRD_INSPIR_100;RAHVAARV_KOKKU;RAHVAARV_ELUHOONES;RAHVAARV_KESKUSES
100mN65907E05391;45;45;0
100mN65910E05389;7;7;0
100mN65907E05392;255;255;0
100mN65912E05389;1;1;0
100mN65906E05396;52;52;0
100mN65914E05378;99;99;0
100mN65909E05405;51;51;0
100mN65908E05395;54;54;0
100mN65917E05387;12;12;0
100mN65919E05389;5;5;0
100mN65913E05379;43;43;0
100mN65910E05384;52;52;0
100mN65916E05384;239;239;0
100mN65905E05405;17;17;0
100mN65900E05395;170;170;0
100mN65902E05391;203;203;0
100mN65899E05390;289;289;0
100mN65896E05467;113;113;0
100mN65890E05473;401;401;0
100mN65890E05469;286;286;0
100mN65892E05473;132;132;0
100mN65891E05482;377;377;0
100mN65891E05473;207;207;0
100mN65897E05471;116;116;0
100mN65897E05472;814;814;0
100mN65895E05475;512;512;0
100mN65896E05475;642;642;0
100mN65893E05478;296;296;0
100mN65895E05477;593;593;0
100mN65895E05479;471;471;0
100mN65895E05494;259;259;0
100mN65896E05499;186;186;0
100mN65897E05498;546;546;0
100mN65893E05498;565;565;0
100mN65903E05331;4;4;0
100mN65905E05328;2;2;0
100mN65906E05328;9;9;0
100mN65906E05329;7;7;0
100mN65907E05328;3;3;0
100mN65908E05328;2;2;0
100mN65893E05499;88;88;0
100mN65895E05497;327;327;0
100mN65902E05389;131;131;0
100mN65903E05389;117;117;0
100mN65896E05455;16;16;0
100mN65893E05461;419;419;0
100mN65895E05468;390;390;0
100mN65898E05461;6;6;0
100mN65950E05491;3;3;0
100mN65946E05492;12;12;0
100mN65949E05495;9;9;0
100mN65947E05496;6;6;0
100mN65946E05498;17;17;0
100mN65954E05481;26;26;0
100mN65955E05479;41;41;0
100mN65921E05467;3;3;0
100mN65924E05473;8;8;0
100mN65948E05475;9;9;0
100mN65952E05472;19;19;0
100mN65951E05494;8;8;0
100mN65958E05469;11;11;0
100mN65952E05488;3;3;0
100mN65953E05487;5;5;0
100mN65953E05495;10;10;0
